Month,Payments,Refunds,Gross Sales,Net Sales,Tax,Total Collected,Fees,Net Total,POS Net Sales,Invoice Net Sales,AOV Net Sales,Customer ID Attach Rate
2026-01,218,0,15435.83,15435.83,584.35,16020.18,-503.20,15516.98,12418.93,3016.90,70.81,0.555
2026-02,334,0,23843.50,23843.50,722.41,24565.91,-718.23,23847.68,23024.84,818.66,71.39,0.518
2026-03,233,1,13223.79,13223.79,401.69,13625.48,-429.34,13196.14,11819.59,1404.20,56.75,0.560
2026-04,204,2,12973.82,12973.82,362.69,13336.51,-424.26,12912.25,12279.33,694.49,63.60,0.573
2026-05,372,2,27529.11,27529.11,662.86,28191.97,-827.91,27364.06,26417.99,1111.12,74.00,0.561
2026-06,157,0,9291.91,9291.91,239.31,9531.22,-291.35,9239.87,8896.37,395.54,59.18,0.535
2026-07,162,0,9279.63,9279.63,284.09,9563.72,-293.65,9270.07,8966.42,313.21,57.28,0.580
