Month,Square Net,Square Orders,SS Total,SS Orders,SS Subtotal,Bank Revenue,COS,Gross Profit,GP Percent,Sq AOV Mean,SS AOV Mean,Notes
2026-01,15435.83,218,9900.51,79,7963.60,19631.00,-16429.00,3202.00,16.3,70.81,125.32,Low margin month
2026-02,23843.50,334,22115.86,172,18313.30,44644.00,-25625.00,19019.00,42.6,71.39,128.58,Valentine peak
2026-03,13223.79,233,12133.10,83,9863.60,25032.00,-18814.00,6218.00,24.8,56.75,146.18,
2026-04,12973.82,204,10152.01,78,8086.60,19910.00,-18188.00,1722.00,8.7,63.60,130.15,Worst GP month
2026-05,27529.11,372,22521.12,168,18495.60,45339.00,-23456.00,21883.00,48.3,74.00,134.05,Mother's Day peak
2026-06,9291.91,157,5754.33,45,4598.85,14582.00,-12913.00,1670.00,11.4,59.18,127.87,Soft month
2026-07,9279.63,162,7257.98,53,5890.85,15022.00,-10688.00,4333.00,28.8,57.28,136.94,Partial month
YTD-2026,111577.59,1680,89834.91,678,73212.40,184160.00,-126112.00,58047.00,31.5,66.22,132.50,Combined product-ish $184790
