Month,Square Net Sales,Square Orders,Square AOV,Squarespace Total,Squarespace Orders,Squarespace AOV,Squarespace Subtotal,Combined Product-ish (Sq Net+SS Sub),Gross Margin %,Subscription Orders (SS),Sympathy Orders (SS),Card Attach % (SS),Pickup-like Orders (SS),Notes
2026-01,15435.83,218,70.81,9900.51,79,125.32,7963.60,23399.43,16.3,,,,,"Bank rev $19.6k; COS heavy month"
2026-02,23843.50,334,71.39,22115.86,172,128.58,18313.30,42156.80,42.6,,,,,"Valentine peak; strongest GP%"
2026-03,13223.79,233,56.75,12133.10,83,146.18,9863.60,23087.39,24.8,,,,,"1 Square refund"
2026-04,12973.82,204,63.60,10152.01,78,130.15,8086.60,21060.42,8.7,,,,,"Lowest GP% month"
2026-05,27529.11,372,74.00,22521.12,168,134.05,18495.60,46024.71,48.3,,,,,"Mother's Day peak; best GP%"
2026-06,9291.91,157,59.18,5754.33,45,127.87,4598.85,13890.76,11.4,,,,,"Soft volume + thin margin"
2026-07,9279.63,162,57.28,7257.98,53,136.94,5890.85,15170.48,28.8,,,,,"Partial month"
YTD-2026,111577.59,1680,66.22,89834.91,678,132.50,73212.40,184789.99,31.5,4,50,0.6,139,"Bank revenue $184k YTD; GP% from accounts COGS. See revenue-customer-aov-analysis.md"
